model,supervision,n_seeds,psnr,dpsnr,dpsnr_sd,ssim,rmse,gmsd,rsr
input_floor,none,,28.26,0,0,0.597,0.0388,0.418,0.0153
redcnn,supervised,3,33.17,4.91,0.13,0.937,0.0221,0.169,0.005
redcnn,n2sim,3,29.22,0.96,0.07,0.706,0.0347,0.409,0.0123
redcnn,n2v,3,28.3,0.04,0.09,0.643,0.0386,0.398,0.0152
dncnn,supervised,3,32.9,4.64,0.14,0.934,0.0228,0.222,0.0053
dncnn,n2sim,3,29.11,0.85,0.05,0.667,0.0351,0.395,0.0126
dncnn,n2v,3,28.24,-0.02,0.04,0.627,0.0389,0.39,0.0154
unet,supervised,3,32.78,4.52,0.11,0.933,0.0231,0.222,0.0055
unet,n2sim,3,29.19,0.93,0.05,0.673,0.0348,0.384,0.0124
unet,n2v,3,28.17,-0.09,0.08,0.646,0.0391,0.381,0.0157
ctformer,supervised,1,30.23,1.99,0.0,0.855,0.0309,0.363,0.0098
ctformer,n2sim,1,28.92,0.68,0.0,0.806,0.0359,0.352,0.0133
ctformer,n2v,1,28.04,-0.2,0.0,0.723,0.0397,0.342,0.0163
